community_id,size,cooperation_rate,mean_payoff
0,163,0.4785276073619632,8.588957055214724
1,266,0.46616541353383456,8.860902255639099
2,248,0.4112903225806452,8.205645161290322
3,216,0.4583333333333333,9.041666666666666
4,215,0.4883720930232558,9.051162790697674
5,279,0.4731182795698925,8.831541218637993
6,162,0.4382716049382716,8.592592592592593
7,255,0.43529411764705883,8.8
8,180,0.4777777777777778,8.333333333333334
9,164,0.49390243902439024,9.298780487804878
10,229,0.462882096069869,8.799126637554584
11,297,0.4006734006734007,7.993265993265993
12,261,0.421455938697318,8.340996168582375
13,264,0.48484848484848486,9.193181818181818
14,258,0.4728682170542636,8.926356589147288
15,268,0.4701492537313433,9.029850746268657
16,227,0.43171806167400884,8.568281938325992
17,169,0.46153846153846156,8.710059171597633
18,276,0.4311594202898551,8.33695652173913
19,218,0.43577981651376146,8.68348623853211
20,225,0.4622222222222222,8.595555555555556
21,205,0.45365853658536587,8.595121951219513
22,177,0.4915254237288136,8.779661016949152
23,289,0.40484429065743943,8.152249134948097
24,268,0.4925373134328358,9.208955223880597
25,247,0.44129554655870445,8.668016194331983
26,210,0.44761904761904764,8.433333333333334
27,274,0.45985401459854014,8.875912408759124
28,232,0.4396551724137931,8.53448275862069
29,216,0.42592592592592593,8.555555555555555
