community_id,size,cooperation_rate,mean_payoff
0,163,0.4785276073619632,8.613496932515337
1,266,0.4473684210526316,8.278195488721805
2,248,0.4838709677419355,8.576612903225806
3,216,0.4861111111111111,8.837962962962964
4,215,0.46511627906976744,8.897674418604652
5,279,0.45878136200716846,8.17921146953405
6,162,0.5246913580246914,9.006172839506172
7,255,0.49411764705882355,8.466666666666667
8,180,0.46111111111111114,8.344444444444445
9,164,0.49390243902439024,8.463414634146341
10,229,0.4497816593886463,8.436681222707424
11,297,0.5016835016835017,8.501683501683502
12,261,0.46360153256704983,8.053639846743295
13,264,0.4356060606060606,8.431818181818182
14,258,0.4806201550387597,8.449612403100776
15,268,0.4962686567164179,8.835820895522389
16,227,0.42731277533039647,8.123348017621145
17,169,0.5325443786982249,9.355029585798816
18,276,0.5108695652173914,9.003623188405797
19,218,0.5091743119266054,8.990825688073395
20,225,0.4266666666666667,8.124444444444444
21,205,0.43414634146341463,8.824390243902439
22,177,0.4745762711864407,8.745762711864407
23,289,0.45674740484429066,8.301038062283737
24,268,0.48507462686567165,8.638059701492537
25,247,0.4574898785425101,8.165991902834008
26,210,0.5142857142857142,9.442857142857143
27,274,0.4416058394160584,8.072992700729927
28,232,0.5086206896551724,7.849137931034483
29,216,0.5185185185185185,8.86574074074074
