round,mean_cooperation,std_cooperation,min_cooperation,max_cooperation,mean_payoff,std_payoff
0,0.4537754544541292,0.026559995178412607,0.4006734006734007,0.49390243902439024,8.686166217274215,0.3204723205248117
1,0.46141660793735717,0.033040023439412786,0.39100346020761245,0.5197132616487455,8.60804290900494,0.3829178226060009
2,0.4705284889074299,0.03591907593871338,0.4006734006734007,0.5410447761194029,8.607609764110903,0.3250831226161311
3,0.4733122928684845,0.033628350293416855,0.4083044982698962,0.5335820895522388,8.658848117659259,0.3824045456841762
4,0.4724681966934496,0.035745203577175276,0.3838383838383838,0.5223880597014925,8.592673967431333,0.3510941624872789
5,0.47694452465285975,0.04084774123694931,0.36363636363636365,0.5487804878048781,8.589822814451137,0.37001126887201596
6,0.476987169052788,0.03951547591269147,0.367003367003367,0.5522388059701493,8.58786193672869,0.3446726000140554
7,0.47465735079745064,0.03560711436387006,0.3939393939393939,0.5485074626865671,8.59624997674367,0.36009581245550276
8,0.47051245062286745,0.034279031386415394,0.4006734006734007,0.5410447761194029,8.588182619151274,0.3585264272017594
9,0.4746667783007721,0.029004128845730316,0.4238095238095238,0.5261194029850746,8.56585288137527,0.3576763547324893
10,0.4691860331981864,0.03500224620012605,0.40875912408759124,0.5679012345679012,8.572745466029014,0.3195469203509658
11,0.4665549676291524,0.039929350540382526,0.37073170731707317,0.5370370370370371,8.552305204695207,0.41529856568496937
12,0.4667281794859513,0.04127566514814964,0.3804878048780488,0.5555555555555556,8.556109022348913,0.3883273331293906
13,0.46811383483812546,0.040930384310125946,0.37073170731707317,0.5425101214574899,8.561501250010986,0.381056614161939
14,0.4777222664097932,0.04482701867849542,0.4,0.5506072874493927,8.622003579718891,0.36984142286041555
15,0.47335883038024495,0.03757233069756105,0.40444444444444444,0.5493827160493827,8.53636203556866,0.3672276163069071
16,0.4748477178236357,0.029853066075888172,0.4180790960451977,0.5370370370370371,8.598603550736588,0.2952086587965266
17,0.4701202920608313,0.043480359669821646,0.3785310734463277,0.5478927203065134,8.539645070539226,0.4238827875478802
18,0.47679125501055225,0.03732380585139375,0.3954802259887006,0.5517241379310345,8.608519275327636,0.3617660781287334
19,0.471802608881278,0.03249825576158377,0.4008810572687225,0.5222222222222223,8.557373025384347,0.35594137969116824
20,0.4622023941700075,0.03745141656682694,0.3876651982378855,0.5432098765432098,8.503612295673717,0.4069426178147507
21,0.46486057014036025,0.03791432412092548,0.3964757709251101,0.5432098765432098,8.53549691019211,0.39695602772290167
22,0.46837016298899503,0.03324341705196138,0.3920704845814978,0.5432098765432098,8.539646236658815,0.38406575522163977
23,0.4683065400009843,0.03904308000323789,0.3804878048780488,0.5740740740740741,8.490527340106006,0.3983409112406617
24,0.4692331004679771,0.03382389270318504,0.3920704845814978,0.5493827160493827,8.547060097108623,0.3469207823011598
25,0.46320698765204676,0.030943394371992575,0.40969162995594716,0.5370370370370371,8.533401579315543,0.3677683983005017
26,0.4722116785689473,0.030739531423867008,0.423728813559322,0.5487804878048781,8.577757696909798,0.3825700115884867
27,0.46452504715158527,0.03538858707944449,0.39492753623188404,0.5413533834586466,8.481017790397868,0.3830548885843234
28,0.47007172361340055,0.036500876774476575,0.4117647058823529,0.5792682926829268,8.5123591841501,0.3859386605362609
29,0.4695951906708167,0.040444776863405696,0.403921568627451,0.5914634146341463,8.491997443589677,0.32817421753858694
30,0.4745990687285542,0.039136597722491305,0.4008810572687225,0.5487804878048781,8.585818779193778,0.3927062147788507
31,0.47619308632906326,0.035897514260832174,0.42011834319526625,0.5761904761904761,8.651248687871913,0.40507307636698636
32,0.47171458889831014,0.032887555739686984,0.4222222222222222,0.5619047619047619,8.652053547940444,0.29547225900876034
33,0.4723445085581731,0.0359079148744787,0.4088888888888889,0.5300751879699248,8.645023034117111,0.310934667689897
34,0.4747263230968489,0.03594474515822064,0.41358024691358025,0.5380952380952381,8.636045230891398,0.36242799234957307
35,0.47524028081577213,0.027968459564210662,0.4266666666666667,0.5431034482758621,8.620772322891494,0.31974390565027494
36,0.4779154240877332,0.031442260128032806,0.41333333333333333,0.5431034482758621,8.60864602569303,0.37281930241665945
37,0.47499839327198273,0.03619116001498216,0.41044776119402987,0.5277777777777778,8.564989179493189,0.3947723525396563
38,0.47597771751326445,0.03635427557598572,0.4074074074074074,0.55,8.58959668190705,0.39157409270496146
39,0.47640318672927534,0.03872494129042933,0.4074074074074074,0.5680473372781065,8.592927556676564,0.37350750228172286
40,0.47759570297239745,0.037869702733792844,0.3950617283950617,0.5680473372781065,8.612425481553432,0.3204642795707658
41,0.46654865864672423,0.033063628018751436,0.3888888888888889,0.5325443786982249,8.531541796950297,0.3083152307870448
42,0.4714575818951748,0.028799777929317663,0.42424242424242425,0.5266272189349113,8.565926360230899,0.3739982099208472
43,0.475278602081494,0.02890921088337868,0.42528735632183906,0.5398773006134969,8.551945870735587,0.3432607858924692
