run_id,seed,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,expected_global_cooperation,observed_global_cooperation,num_intercommunity_edges,corr_size_cooperation,corr_degree_cooperation,intercommunity_mutual_coop_rate,mean_external_payoff,mean_b_eff,std_b_eff,corr_climate_cooperation,std_climate,avg_degree,std_b_base,b,Tin,social_adaptation_rate,epsilon_perception,epsilon_execution,delta_D,delta_pi,rho,num_epochs,rounds_per_epoch,het_b_lo,het_b_hi,spread,base_prob
7,701000,0.2831702459114327,0.076000874385944,3.4115800679062653,0.3583695915333602,0.4,137,-0.170028539719349,-0.1285399716590545,0.1167883211678832,1.37,2.6567879978816817,0.6685268782877394,0.1353754763577652,0.3185083664590171,2.74,0.5746457261855316,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,1.5,3.5,1.0,0.02
2,201000,0.2927666006817776,0.0650756448279919,3.437289305713764,0.3623885941930864,0.35,152,-0.0909621036947693,-0.1131796504073039,0.1184210526315789,1.44,2.607518655492299,0.652956081577842,0.052778100882276,0.3390360106037076,3.04,0.601630330145316,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,1.5,3.5,1.0,0.02
10,1001000,0.2743504811670151,0.0582602806637153,3.3043153208537213,0.3262198379598666,0.34,153,0.0396363564177451,0.0202394065036618,0.1045751633986928,1.1,2.607613620957681,0.6628594281839815,0.1781707641286263,0.2898929519747439,3.06,0.5335955517362488,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,1.5,3.5,1.0,0.02
6,601000,0.2675811974783639,0.0583211414238167,3.288604255784976,0.3108292240155774,0.31,165,0.0134189841762392,0.0479183724419641,0.0848484848484848,1.495,2.683801866716822,0.6799099476232978,0.0855246512865569,0.2970953494452,3.3,0.5743939504550846,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,1.5,3.5,1.0,0.02
11,1101000,0.2782091265304227,0.0668919400967467,3.2761056945082045,0.3210203563108421,0.26,155,0.0906846326410637,0.0437366035279631,0.0838709677419354,1.25,2.59247504398433,0.7031785669360087,0.0434942273568258,0.3166516042205816,3.1,0.5429935114390992,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,1.5,3.5,1.0,0.02
13,1301000,0.2705027305579279,0.062481150039003,3.3323454801650185,0.3082971518211069,0.27,142,-0.0453059995522912,-0.114103097469223,0.0845070422535211,0.96,2.722623480950531,0.7631487027216824,0.1114874032080538,0.3002133620023846,2.84,0.6003096917384062,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,1.5,3.5,1.0,0.02
19,1901000,0.2785258184662164,0.0661624950719594,3.2294682111243405,0.3521099174617552,0.31,140,0.0373848610608872,-0.0220891403421384,0.0428571428571428,1.095,2.515949471302506,0.6864225500185698,-0.0111981497053556,0.2630659083484701,2.8,0.5639423250376029,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,1.5,3.5,1.0,0.02
12,1201000,0.2885232911277151,0.0557128198995282,3.345874182110415,0.3444410353747515,0.32,120,-0.0337343410291712,0.0543889522818874,0.1333333333333333,1.22,2.54714563239218,0.6333094673792907,-0.1047146651983806,0.3528784095161695,2.4,0.5578058754341263,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,1.5,3.5,1.0,0.02
18,1801000,0.2743398261701719,0.0604528404639463,3.2935569963617377,0.3440372036680275,0.3,147,0.0799251495225082,0.0201162888722784,0.0612244897959183,1.2,2.623431857980599,0.6739995039456321,-0.1608256267061278,0.2920141570264477,2.94,0.57787699894824,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,1.5,3.5,1.0,0.02
17,1701000,0.2828660911069043,0.0677236943615556,3.393706913290154,0.3230691062907805,0.34,142,-0.0324753846428459,0.0047820725077951,0.1197183098591549,1.33,2.657999966968704,0.6558375250891456,-0.0418436584566587,0.3402023457739896,2.84,0.5542484492055335,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,1.5,3.5,1.0,0.02
