base_prob,rho,internal_cooperation,corr_climate_coop,corr_climate_std,std_climate,avg_degree,corr_degree_coop,n,ci95_corr_climate
0.02,0.0,0.28565157272433744,0.019817671494884472,0.10372743363516874,0.3015364065813588,3.0136363636363637,0.015365182092037853,22,0.043344935787224155
0.02,0.2,0.2789729136047967,0.019014668467721842,0.09364842872283155,0.302514619470362,3.0136363636363637,-0.0015637781564632463,22,0.039133187694998614
0.02,0.4,0.2789703212596347,-0.0057816327915399335,0.10095500930522537,0.30037923982948705,3.0136363636363637,-0.05320511326816644,22,0.04218641339498028
0.05,0.0,0.28565157272433744,-0.03635301268009841,0.08083078057649135,0.18201770731967645,7.406363636363636,-0.012374865591705619,22,0.03377703343208259
0.05,0.2,0.2777522784556495,0.015560707037473137,0.07325367506484089,0.180155424233979,7.406363636363636,-0.02299740186952419,22,0.03061076255903018
0.05,0.4,0.2705035703163542,-0.02478887646797372,0.09482478662276599,0.18161585903499292,7.406363636363636,-0.029320458580348405,22,0.039624756375033564
0.1,0.0,0.28565157272433744,-0.019871383724802218,0.11040648611944064,0.11518899184214838,14.884545454545453,-0.016724938486655884,22,0.04613593418470218
0.1,0.2,0.2780677499628111,-0.005731028699613596,0.10394455132777156,0.11447377339902678,14.884545454545453,-0.032266736189423766,22,0.04343566349651309
0.1,0.4,0.2704629025665264,-0.0034456670009746556,0.13816059906005795,0.11365758174423121,14.884545454545453,-0.03500154895995377,22,0.057733639835780275
0.2,0.0,0.28565157272433744,-0.021182279297184182,0.09835967462585113,0.07335902954624886,29.933636363636364,0.0004204460469452833,22,0.04110189205784299
0.2,0.2,0.27879929592393426,-0.037327048795920297,0.08861284038822745,0.07234248212116436,29.933636363636364,-0.031730881252361856,22,0.0370289492561879
0.2,0.4,0.26967419036143553,-0.03941102463013729,0.09076725925996228,0.0723852637040479,29.933636363636364,-0.03162332843544005,22,0.03792922360388437
