eta_s,delta_pi,internal_cooperation,std,mean_payoff,n,ci95
0.0,0.0,0.24870686981288292,0.0035766902004464385,2.5340609691946097,11,0.0021136888360904446
0.0,0.02,0.18921073202836006,0.003874166086006953,1.9932165823306882,11,0.0022894858503906754
0.0,0.05,0.13684175809248256,0.003430037907364017,1.4901996883772737,11,0.002027022869147966
0.0,0.1,0.09172835816355955,0.004298682901643874,1.0270317807357625,11,0.00254035925671265
0.0,0.2,0.055320927017518236,0.0022544373784312843,0.6336474089129133,11,0.0013322873526648827
0.0,0.35,0.03338810927317177,0.0012184357930863016,0.3895515647960792,11,0.0007200495399400441
0.0,0.55,0.021567051837434334,0.0015067676428835123,0.25389962298680024,11,0.0008904427744252677
0.0,0.8,0.013958552826258607,0.0007828690479537195,0.1658240255269377,11,0.0004626460425826058
0.0,1.0,0.012080640308168251,0.0009210325015290458,0.14374219530214113,11,0.0005442954259542537
0.05,0.0,0.38479873651223023,0.00843330440970647,3.5549557708588293,11,0.004983764425536195
0.05,0.02,0.3077119080675384,0.0046692763547849766,2.9665744175165085,11,0.0027593659921952996
0.05,0.05,0.22881056775607317,0.005423294863538364,2.317216445318572,11,0.003204962455640377
0.05,0.1,0.15380738901284535,0.0038494639243449695,1.6322182578371738,11,0.0022748878057163788
0.05,0.2,0.08613941490967969,0.0032879887526920623,0.9572163802769809,11,0.0019430771831702653
0.05,0.35,0.0485862855506705,0.002159341010261561,0.5570616810384424,11,0.0012760889903555047
0.05,0.55,0.02769165956098557,0.0015614951943248507,0.32279105303835864,11,0.0009227846905614999
0.05,0.8,0.017151448097844295,0.001512899271727568,0.2021370689042331,11,0.0008940663355134249
0.05,1.0,0.013140746624511968,0.001262721457019256,0.15558002102136623,11,0.0007462206948928146
0.1,0.0,0.4612321236069933,0.006102161913319899,4.060801698870024,11,0.0036061472448999507
0.1,0.02,0.3870501135710002,0.003765597275757637,3.550607001717989,11,0.002225325783594016
0.1,0.05,0.30528616949248977,0.005198963903575404,2.9354891708020943,11,0.003072391330077426
0.1,0.1,0.21128805235456752,0.0053635028648874004,2.149035678501192,11,0.0031696276424602195
0.1,0.2,0.12162682353747063,0.002445226757436163,1.3108419959817612,11,0.001445036670566921
0.1,0.35,0.06337834252070759,0.0027170507471395923,0.7166128461722351,11,0.0016056743831499084
0.1,0.55,0.035976908534693125,0.001420795212161229,0.4169370873987701,11,0.000839636314585227
0.1,0.8,0.019621203505427506,0.0011674545169047044,0.23180283402194632,11,0.0006899215310056289
0.1,1.0,0.014697527975535751,0.0015072469895578682,0.17419967853807,11,0.0008907260502074634
0.2,0.0,0.5146354178259954,0.00586311988448547,4.39433793553306,11,0.003464882433191999
0.2,0.02,0.46738397357727324,0.007774124024461606,4.097434680003686,11,0.004594213711558239
0.2,0.05,0.3999194701282829,0.005727337657412286,3.6360002711030646,11,0.003384640264756985
0.2,0.1,0.3035889820859055,0.004237062560762309,2.924031388102254,11,0.00250394396232087
0.2,0.2,0.18255610270010614,0.005670745195813505,1.8907074240028743,11,0.0033511962571453418
0.2,0.35,0.09918720807919691,0.0026396357684008243,1.0839747417182064,11,0.001559925054263138
0.2,0.55,0.052131042363935835,0.0028158990999087594,0.5927437539650356,11,0.0016640900266652566
0.2,0.8,0.02518471089944962,0.0016639714817551705,0.2952288840610171,11,0.000983344306453988
0.2,1.0,0.0182301189203482,0.0011256911640068572,0.21511305616248813,11,0.00066524096662047
0.3,0.0,0.5309765292766236,0.005023549387570787,4.51293740130065,11,0.002968727975582567
0.3,0.02,0.49486673014523497,0.006816093987164132,4.287896645972953,11,0.004028054139163005
0.3,0.05,0.44532590769359465,0.006881465804012676,3.9631972699110363,11,0.004066686414178176
0.3,0.1,0.3645288043851803,0.005063717787934759,3.3936512969217563,11,0.0029924659832529944
0.3,0.2,0.23656314730736902,0.004630064995106444,2.3745001489362054,11,0.0027361935594276817
0.3,0.35,0.1346777460154166,0.004145314473859604,1.442502314283766,11,0.002449724307793705
0.3,0.55,0.06856785237027821,0.0017849552352170873,0.7703072612051794,11,0.0010548411358435878
0.3,0.8,0.032173492032732155,0.001606262731307041,0.37189693746206376,11,0.0009492406142886124
0.3,1.0,0.020352683145823915,0.0019080807963800374,0.23872889470029576,11,0.001127603692699928
0.45,0.0,0.529668139181298,0.007722403786104844,4.52757450350645,11,0.004563649003884933
0.45,0.02,0.5071778836011664,0.0033927804949423325,4.387326290534252,11,0.002005005145419055
0.45,0.05,0.46927388319518093,0.0047532725779868105,4.147928569021375,11,0.0028090045880214956
0.45,0.1,0.40964491395593167,0.006469144980794802,3.7510997309802714,11,0.0038230203787987457
0.45,0.2,0.29729268073772247,0.005831600240929882,2.890113734205983,11,0.003446255514178247
0.45,0.35,0.18187909273626615,0.005727943162394198,1.899250789638863,11,0.0033849980953346245
0.45,0.55,0.0962474045932994,0.0037621297599242562,1.0569940033696283,11,0.0022232766126859317
0.45,0.8,0.04164086418432625,0.0024423091904504936,0.4771171748981679,11,0.001443312498659221
0.45,1.0,0.024852406594106712,0.0019920334307956117,0.2909796416583228,11,0.001177216529199559
0.6,0.0,0.5172704940072571,0.008729331320172104,4.4743617550589185,11,0.005158705150275356
0.6,0.02,0.49763364239939284,0.0036704874099560323,4.353599743314115,11,0.002169119444693929
0.6,0.05,0.473120889428184,0.007016569542199108,4.199064045871807,11,0.004146527621303999
0.6,0.1,0.4263855827819371,0.004635978509915451,3.8860983232111006,11,0.0027396882233581203
0.6,0.2,0.33514592328120807,0.005555781581065183,3.216472986575979,11,0.00328325710238718
0.6,0.35,0.2215407956934903,0.004067777574496621,2.262889561133392,11,0.0024039029284223102
0.6,0.55,0.12302751782396411,0.003598707331699299,1.3325983508023957,11,0.0021267001291921227
0.6,0.8,0.054566467865106834,0.0018738239096071532,0.6173863922728343,11,0.0011073591663157247
0.6,1.0,0.028479520342926036,0.0015098765795195058,0.32982897041021686,11,0.0008922800385693056
0.8,0.0,0.4982244228918557,0.0038842924894630106,4.394451922052861,11,0.00229547017241335
0.8,0.02,0.4833931516817462,0.004445737748479168,4.30068895612678,11,0.0026272631177207844
0.8,0.05,0.4639604693911967,0.0033621809915992742,4.17275279162379,11,0.0019869219945221556
