eta_s,delta_pi,run_id,internal_cooperation,std_between_communities,mean_payoff
0.0,0.0,5,0.2458428468286028,0.048870745328630706,2.5003384592866724
0.0,0.0,0,0.24956750942478212,0.05140320290737524,2.551737664133027
0.0,0.0,8,0.24792291383364268,0.057430769315048036,2.5163362786380112
0.0,0.0,9,0.25275330826377657,0.040402038947697665,2.5710365872091914
0.0,0.0,1,0.2502430653688382,0.04491846073615476,2.5481771543505927
0.0,0.0,3,0.2557149161149235,0.04232457903214906,2.605739530504388
0.0,0.0,7,0.24285146325045998,0.04512552441376639,2.474355215185466
0.0,0.0,2,0.24979964589965462,0.0414345195296686,2.5435199480219044
0.0,0.0,4,0.24881202305385655,0.04556047488253169,2.5420375813027136
0.0,0.0,6,0.24708050525368297,0.03647075261545812,2.5183445283006516
0.0,0.0,10,0.24518737064949225,0.0439754761169045,2.503047714208086
0.0,0.02,0,0.195044314645976,0.042033775860126125,2.058732428465946
0.0,0.02,5,0.1857775111553906,0.04819562860775577,1.9578791202424557
0.0,0.02,1,0.19459125872141145,0.043492524802509494,2.0495902999088416
0.0,0.02,2,0.19050108751209588,0.038096528719499485,2.005039545961661
0.0,0.02,8,0.18374876821331815,0.038278414674077214,1.9366329025867068
0.0,0.02,3,0.18933948895778743,0.035588306064915316,2.0018481111932536
0.0,0.02,4,0.18436178559004304,0.04531551276123544,1.9287139485213538
0.0,0.02,9,0.19050749894108407,0.04365274301670815,1.9979871408905832
0.0,0.02,7,0.18583257390277327,0.04282352755305646,1.9647446578812344
0.0,0.02,6,0.19183352617625107,0.04331387090570861,2.0152650474867815
0.0,0.02,10,0.18978023849582948,0.04501161900902536,2.008949202498753
0.0,0.05,0,0.14270735510444577,0.03969423532694154,1.5499339026296146
0.0,0.05,5,0.13683148079314683,0.03777759874519579,1.4904552881830937
0.0,0.05,1,0.13192835696951127,0.036245136843534816,1.439479712596823
0.0,0.05,2,0.1386067566686426,0.028726731869710566,1.5049008549055087
0.0,0.05,3,0.13872041194324494,0.03547684959500542,1.5034037553725088
0.0,0.05,8,0.13718249001247526,0.03249161966967394,1.494390273994869
0.0,0.05,9,0.1336446416176085,0.031235591210686236,1.4582611197928437
0.0,0.05,7,0.13818061391614045,0.03525934632979355,1.508243974138443
0.0,0.05,4,0.1313770665279902,0.03411312225903475,1.438634749996585
0.0,0.05,6,0.1360913407045527,0.03642835971628302,1.4871955307960565
0.0,0.05,10,0.13998882475954952,0.038536918572763354,1.5172974097436636
