round,mean_cooperation,std_cooperation,min_cooperation,max_cooperation,mean_payoff,std_payoff
0,0.4537754544541292,0.026559995178412607,0.4006734006734007,0.49390243902439024,4.216953365922179,0.1934057242160375
1,0.4654323533204314,0.03399277513528715,0.39730639730639733,0.519774011299435,4.242022498173615,0.24724569459415513
2,0.47717003895086146,0.03467058179419836,0.4006734006734007,0.5441860465116279,4.272596481144663,0.2447909830950324
3,0.4848411166939711,0.0340692267374659,0.4107744107744108,0.5310734463276836,4.303346996566652,0.26126955680415376
4,0.48576052587694707,0.032443436731593354,0.4006734006734007,0.5310734463276836,4.291810666597793,0.23965356269906996
5,0.4935150610624928,0.03632673327216357,0.41414141414141414,0.5819209039548022,4.311198993787248,0.2600301941199999
6,0.5006918859944588,0.03441040000856891,0.4276094276094276,0.5746268656716418,4.343663499285676,0.2451215114307115
7,0.5003673305555,0.0374502927678451,0.4238095238095238,0.5708955223880597,4.346411930118546,0.2542680077570914
8,0.5010571772679289,0.03654344211244936,0.43333333333333335,0.5783582089552238,4.355156636432733,0.2530088434292838
9,0.5037896922665085,0.04060109878313503,0.4095238095238095,0.5789473684210527,4.372675584478931,0.26253621109039826
10,0.5055992609001091,0.044446180859566094,0.4142857142857143,0.6127819548872181,4.37613658599354,0.3029568831899807
11,0.5096731464744012,0.04097182052847851,0.4380952380952381,0.5977443609022557,4.394088072506897,0.26859366927626815
12,0.5172621509003767,0.0474766871347476,0.4260355029585799,0.6101694915254238,4.432090168109854,0.29337600199138153
13,0.522087268917813,0.04462685831651839,0.43414634146341463,0.615819209039548,4.443696841972862,0.2817554460586398
14,0.526585123942808,0.04199815506079748,0.44878048780487806,0.6015037593984962,4.463758915030341,0.2624364900826827
15,0.5305674280002456,0.04167482619909904,0.45714285714285713,0.6101694915254238,4.491846444819864,0.2354596641671865
16,0.5320528775394832,0.04380956627742973,0.4292682926829268,0.6090225563909775,4.492973104402448,0.23936559378891362
17,0.5330208510326578,0.044225076705496275,0.4146341463414634,0.6090225563909775,4.502318060151463,0.25421392189709996
18,0.5378795671398713,0.04593851697522633,0.4292682926829268,0.615819209039548,4.529225414541543,0.26101186538052246
19,0.5437958241530231,0.04618265942794508,0.43902439024390244,0.6206896551724138,4.550555920737964,0.27076607513962914
20,0.5399562980733953,0.052035292141746285,0.3804878048780488,0.6541353383458647,4.515363087774604,0.33027714200318903
21,0.5389432478539021,0.049701492110762927,0.4292682926829268,0.650375939849624,4.515290646114313,0.29442577139804527
22,0.541925009851736,0.04931431438538173,0.4195121951219512,0.6203007518796992,4.519522147528199,0.3029538246680498
23,0.5474093862299105,0.04607529866204464,0.4292682926829268,0.6165413533834586,4.552209754387053,0.2766938315139408
24,0.546928813119895,0.04697478683439926,0.4292682926829268,0.6390977443609023,4.535671328619562,0.25490789911847467
25,0.5471814437906418,0.041750180645596935,0.44878048780487806,0.6390977443609023,4.54622755939023,0.23250585835464743
26,0.5551195422687383,0.042192574646372674,0.44878048780487806,0.6594982078853047,4.600645740471095,0.23316635371832042
27,0.5533318174247,0.04437675732667101,0.43414634146341463,0.6487455197132617,4.59111438741109,0.2552807473925815
28,0.5537756173887014,0.04436317119127938,0.43902439024390244,0.6451612903225806,4.5932938207155685,0.26541207652141263
29,0.558265284923645,0.04765184432849102,0.4195121951219512,0.6379928315412187,4.622823254430019,0.2593100243965691
30,0.5677211218889092,0.04577851794457099,0.4573170731707317,0.6666666666666666,4.683553290870121,0.24885303728801544
31,0.5719386845636071,0.04478859704934391,0.45365853658536587,0.6497175141242938,4.678648905684933,0.24234658680852092
32,0.5686485769266937,0.047316191358897135,0.45365853658536587,0.655367231638418,4.685178708342994,0.25604232124025844
33,0.5689324096527535,0.041133052312311236,0.4634146341463415,0.6610169491525424,4.681264836205281,0.234142785084616
34,0.581026991424375,0.04523374315841722,0.4682926829268293,0.6836158192090396,4.759181818582021,0.25454504705853537
35,0.584186207279086,0.04400913331335336,0.4682926829268293,0.6666666666666666,4.770639547555338,0.24580669143365347
36,0.5802773964954537,0.0419738701376423,0.4634146341463415,0.6440677966101694,4.734770321526724,0.24008270663844233
37,0.5897385841286248,0.04127686242423967,0.47317073170731705,0.6610169491525424,4.792452468059777,0.23614906923677664
38,0.5815274242138669,0.04490443120331345,0.45365853658536587,0.6555555555555556,4.741422568824524,0.2525065001089698
39,0.5808214314843884,0.03977265440244886,0.4790697674418605,0.6449704142011834,4.739563011926678,0.24259177139161428
40,0.5822813976960197,0.037127926288594175,0.4883720930232558,0.6419753086419753,4.751230877821947,0.21740879890972997
41,0.589191512986728,0.037553759766174116,0.5129310344827587,0.6518218623481782,4.789444654680393,0.2125794187219951
42,0.5910042176501729,0.04425110617472482,0.46511627906976744,0.6790123456790124,4.770851586808917,0.2392431755422826
43,0.5882438501482148,0.046978529734876186,0.4604651162790698,0.6680161943319838,4.759481552912472,0.25613732935234007
44,0.5905607295527565,0.04359524475227229,0.4883720930232558,0.6666666666666666,4.78058791549341,0.22567571837674696
45,0.6027006023059184,0.04773673772378631,0.5038759689922481,0.6761133603238867,4.861814595296987,0.24083782862077668
46,0.6019419294629774,0.047832156612855205,0.5023255813953489,0.6888888888888889,4.864117942523185,0.24672049834603427
47,0.6010858976658489,0.04947916405632027,0.4930232558139535,0.7,4.857119614414214,0.2557121052911825
48,0.6011958200832589,0.05046847695175864,0.4604651162790698,0.7066666666666667,4.85045353275933,0.2784277583455557
49,0.6016125927229166,0.04603529311383904,0.48372093023255813,0.68,4.845648663383813,0.26333097434303926
50,0.6048889137626751,0.047486130482245335,0.4558139534883721,0.6933333333333334,4.864094424803488,0.2638443502356957
51,0.5987136039700133,0.04165326286378538,0.48372093023255813,0.7111111111111111,4.841887831051749,0.21924971354868325
52,0.6002385830580075,0.045186971487122,0.4744186046511628,0.7022222222222222,4.853948412804003,0.23444738271638876
53,0.6021635207265237,0.04346715821900209,0.4883720930232558,0.6888888888888889,4.872039523088175,0.22026986299049542
54,0.5949530741824031,0.045509564950848576,0.46511627906976744,0.6720647773279352,4.825741184533582,0.24160014925513135
55,0.5933756375129253,0.03945323218832172,0.4930232558139535,0.6720647773279352,4.816077360204613,0.20835851448857595
56,0.5989078790104981,0.04272050320539484,0.5155038759689923,0.6842105263157895,4.856296790241406,0.20967489809814216
57,0.6012951451588758,0.03589240370335277,0.5232558139534884,0.6622222222222223,4.863657863710264,0.1746892252223746
58,0.6077230147452255,0.0344005704134446,0.5193798449612403,0.6687116564417178,4.898799545086132,0.1769179369097579
59,0.6067192421439361,0.030541237715487786,0.5317073170731708,0.6541353383458647,4.898223891102663,0.166838301706491
60,0.6055199467626886,0.030057650466735728,0.5395348837209303,0.6625766871165644,4.887771109281808,0.15779550008871032
61,0.6066937450225731,0.034918815562647636,0.5463414634146342,0.6836158192090396,4.889479362697986,0.17679020803879747
62,0.6024925272745073,0.03561618279170137,0.4926829268292683,0.672316384180791,4.871003727651225,0.18491662184325597
63,0.6018493823623531,0.039364659018421455,0.48292682926829267,0.6666666666666666,4.86282031056159,0.20670254421300635
64,0.5991954028900864,0.042194224093111396,0.4682926829268293,0.6767676767676768,4.829512491523301,0.22607871073188
65,0.6024615233874232,0.04295375000082785,0.4682926829268293,0.6868686868686869,4.851930359483092,0.213174205575642
66,0.5983585709869005,0.0412914125817277,0.4878048780487805,0.6868686868686869,4.835928632225318,0.20258680037109558
67,0.6014841717382831,0.03966361025068147,0.5271317829457365,0.6834862385321101,4.861705735442909,0.2084599315199611
68,0.6009293881261595,0.04328729997306113,0.5170731707317073,0.6767676767676768,4.855428326065843,0.2189936144370798
69,0.6003605231098205,0.05118008299562488,0.5219512195121951,0.7018348623853211,4.845402437404275,0.25817007672821535
70,0.5987284771944837,0.05440868484747446,0.5038759689922481,0.7018348623853211,4.824973682172228,0.2622733590003604
71,0.5975575203133306,0.05061070508800087,0.5,0.6902356902356902,4.84000015813918,0.25400009862800144
72,0.5971762375680197,0.049356096481233375,0.5121951219512195,0.7293577981651376,4.816252018494988,0.24759354210090495
73,0.6001212292185664,0.050611583480042466,0.4878048780487805,0.7110091743119266,4.841654701253616,0.2664706892208475
74,0.6029902407684319,0.05596775441931179,0.4883720930232558,0.7018348623853211,4.859373751737758,0.27787828366017375
75,0.6061791150813225,0.054071639539746676,0.4844961240310077,0.7037037037037037,4.863940970687546,0.27449348229724224
76,0.6009783811418361,0.053544446502549345,0.4876543209876543,0.7110091743119266,4.829903539237532,0.28163663192633315
77,0.6010730277276475,0.05064430293245938,0.49382716049382713,0.6801346801346801,4.8450834820796445,0.2593855726643291
78,0.603424133370164,0.05146081232180477,0.5060975609756098,0.6954887218045113,4.852197183463691,0.27105487337234624
79,0.6016520356005105,0.045057362438562135,0.5,0.6917293233082706,4.839581870431889,0.24326375721108628
80,0.6090083692779731,0.042268112916450364,0.5185185185185185,0.6972477064220184,4.9045073469048175,0.21988232851970996
81,0.6053938393886761,0.03649139035902015,0.5490196078431373,0.6880733944954128,4.874565644883607,0.20525731347791829
82,0.6023672353596814,0.03754878740211245,0.5414847161572053,0.6809815950920245,4.848929549377954,0.20108785520344857
83,0.6056244488350598,0.04705603510472425,0.5310734463276836,0.7300613496932515,4.872643600878423,0.23681475773706692
84,0.6028358341439133,0.05101347342997109,0.4878048780487805,0.7423312883435583,4.856058900237986,0.25442541107020694
85,0.6026343591229516,0.05510724580743213,0.4817073170731707,0.7484662576687117,4.853153069351269,0.2949315114760028
