community_id,size,cooperation_rate,mean_payoff
0,163,0.4785276073619632,4.319018404907975
1,266,0.46616541353383456,4.315789473684211
2,248,0.4112903225806452,3.8870967741935485
3,216,0.4583333333333333,4.361111111111111
4,215,0.4883720930232558,4.474418604651163
5,279,0.4731182795698925,4.336917562724015
6,162,0.4382716049382716,4.148148148148148
7,255,0.43529411764705883,4.141176470588236
8,180,0.4777777777777778,4.233333333333333
9,164,0.49390243902439024,4.560975609756097
10,229,0.462882096069869,4.279475982532751
11,297,0.4006734006734007,3.791245791245791
12,261,0.421455938697318,3.9846743295019156
13,264,0.48484848484848486,4.5
14,258,0.4728682170542636,4.3565891472868215
15,268,0.4701492537313433,4.373134328358209
16,227,0.43171806167400884,4.11453744493392
17,169,0.46153846153846156,4.272189349112426
18,276,0.4311594202898551,4.021739130434782
19,218,0.43577981651376146,4.128440366972477
20,225,0.4622222222222222,4.222222222222222
21,205,0.45365853658536587,4.175609756097561
22,177,0.4915254237288136,4.406779661016949
23,289,0.40484429065743943,3.8546712802768166
24,268,0.4925373134328358,4.507462686567164
25,247,0.44129554655870445,4.137651821862348
26,210,0.44761904761904764,4.133333333333334
27,274,0.45985401459854014,4.2773722627737225
28,232,0.4396551724137931,4.137931034482759
29,216,0.42592592592592593,4.055555555555555
