community_id,size,cooperation_rate,mean_payoff
0,163,0.588957055214724,4.8343558282208585
1,266,0.631578947368421,5.06015037593985
2,248,0.6129032258064516,4.983870967741935
3,216,0.5972222222222222,4.861111111111111
4,215,0.6604651162790698,5.088372093023255
5,279,0.6093189964157706,4.781362007168458
6,162,0.6790123456790124,5.246913580246914
7,255,0.6352941176470588,4.901960784313726
8,180,0.6277777777777778,5.066666666666666
9,164,0.5365853658536586,4.426829268292683
10,229,0.6506550218340611,4.943231441048035
11,297,0.6195286195286195,4.915824915824916
12,261,0.5977011494252874,4.9272030651340994
13,264,0.5643939393939394,4.590909090909091
14,258,0.5348837209302325,4.434108527131783
15,268,0.4962686567164179,4.231343283582089
16,227,0.5859030837004405,4.951541850220265
17,169,0.5680473372781065,4.745562130177515
18,276,0.5289855072463768,4.492753623188406
19,218,0.5321100917431193,4.385321100917431
20,225,0.5466666666666666,4.542222222222223
21,205,0.5609756097560976,4.6536585365853655
22,177,0.5932203389830508,4.824858757062147
23,289,0.6089965397923875,4.968858131487889
24,268,0.5895522388059702,4.791044776119403
25,247,0.5991902834008097,4.890688259109312
26,210,0.6476190476190476,5.057142857142857
27,274,0.6131386861313869,4.890510948905109
28,232,0.5560344827586207,4.655172413793103
29,216,0.5787037037037037,4.712962962962963
