community_id,round,cooperation_rate,mean_payoff,run_id
0,0,0.48148148148148145,3.6018518518518516,0
0,1,0.2962962962962963,2.3703703703703702,0
0,2,0.2962962962962963,2.3518518518518516,0
0,3,0.16666666666666666,1.3148148148148149,0
0,4,0.09259259259259259,0.8055555555555556,0
0,5,0.09259259259259259,0.8703703703703703,0
0,6,0.07407407407407407,0.6481481481481481,0
0,7,0.018518518518518517,0.1388888888888889,0
0,8,0.018518518518518517,0.19444444444444445,0
0,9,0.0,0.0,0
0,10,0.018518518518518517,0.1388888888888889,0
0,11,0.0,0.0,0
0,12,0.0,0.0,0
0,13,0.0,0.0,0
0,14,0.0,0.0,0
0,15,0.0,0.0,0
0,16,0.018518518518518517,0.16666666666666666,0
0,17,0.018518518518518517,0.19444444444444445,0
0,18,0.0,0.0,0
0,19,0.018518518518518517,0.1388888888888889,0
0,20,0.018518518518518517,0.1388888888888889,0
0,21,0.0,0.0,0
0,22,0.0,0.0,0
0,23,0.018518518518518517,0.1388888888888889,0
0,24,0.0,0.0,0
0,25,0.0,0.0,0
0,26,0.018518518518518517,0.16666666666666666,0
0,27,0.0,0.0,0
0,28,0.0,0.0,0
0,29,0.018518518518518517,0.16666666666666666,0
0,30,0.0,0.0,0
0,31,0.018518518518518517,0.1388888888888889,0
0,32,0.018518518518518517,0.1388888888888889,0
0,33,0.018518518518518517,0.16666666666666666,0
0,34,0.018518518518518517,0.16666666666666666,0
0,35,0.0,0.0,0
0,36,0.0,0.0,0
0,37,0.037037037037037035,0.3611111111111111,0
0,38,0.0,0.0,0
0,39,0.037037037037037035,0.3611111111111111,0
0,40,0.037037037037037035,0.3333333333333333,0
0,41,0.018518518518518517,0.16666666666666666,0
0,42,0.037037037037037035,0.3148148148148148,0
0,43,0.05555555555555555,0.4074074074074074,0
0,44,0.018518518518518517,0.16666666666666666,0
0,45,0.0,0.0,0
0,46,0.0,0.0,0
0,47,0.037037037037037035,0.2777777777777778,0
0,48,0.018518518518518517,0.19444444444444445,0
0,49,0.018518518518518517,0.16666666666666666,0
0,50,0.0,0.0,0
0,51,0.0,0.0,0
0,52,0.0,0.0,0
0,53,0.0,0.0,0
0,54,0.018518518518518517,0.19444444444444445,0
0,55,0.018518518518518517,0.1388888888888889,0
0,56,0.018518518518518517,0.16666666666666666,0
0,57,0.018518518518518517,0.16666666666666666,0
0,58,0.0,0.0,0
0,59,0.0,0.0,0
0,60,0.018518518518518517,0.19444444444444445,0
0,61,0.0,0.0,0
0,62,0.0,0.0,0
0,63,0.018518518518518517,0.19444444444444445,0
0,64,0.0,0.0,0
0,65,0.0,0.0,0
0,66,0.018518518518518517,0.19444444444444445,0
0,67,0.0,0.0,0
0,68,0.018518518518518517,0.19444444444444445,0
0,69,0.018518518518518517,0.1388888888888889,0
0,70,0.018518518518518517,0.1388888888888889,0
0,71,0.0,0.0,0
0,72,0.037037037037037035,0.3148148148148148,0
0,73,0.037037037037037035,0.3333333333333333,0
0,74,0.0,0.0,0
0,75,0.037037037037037035,0.2777777777777778,0
0,76,0.037037037037037035,0.3055555555555556,0
0,77,0.037037037037037035,0.3333333333333333,0
0,78,0.0,0.0,0
0,79,0.037037037037037035,0.3055555555555556,0
0,80,0.018518518518518517,0.2222222222222222,0
0,81,0.0,0.0,0
0,82,0.018518518518518517,0.1388888888888889,0
0,83,0.018518518518518517,0.1388888888888889,0
0,84,0.018518518518518517,0.1388888888888889,0
0,85,0.018518518518518517,0.16666666666666666,0
0,86,0.018518518518518517,0.19444444444444445,0
0,87,0.037037037037037035,0.3333333333333333,0
0,88,0.05555555555555555,0.5277777777777778,0
0,89,0.018518518518518517,0.16666666666666666,0
0,90,0.05555555555555555,0.5370370370370371,0
0,91,0.037037037037037035,0.37037037037037035,0
0,92,0.018518518518518517,0.16666666666666666,0
0,93,0.0,0.0,0
0,94,0.018518518518518517,0.1111111111111111,0
0,95,0.07407407407407407,0.6481481481481481,0
0,96,0.018518518518518517,0.1388888888888889,0
0,97,0.018518518518518517,0.1388888888888889,0
0,98,0.018518518518518517,0.1388888888888889,0
0,99,0.018518518518518517,0.19444444444444445,0
0,100,0.037037037037037035,0.37037037037037035,0
1,0,0.4606741573033708,3.533707865168539,0
1,1,0.2808988764044944,2.2134831460674156,0
1,2,0.1797752808988764,1.4213483146067416,0
1,3,0.1348314606741573,1.1910112359550562,0
1,4,0.15730337078651685,1.3089887640449438,0
1,5,0.1348314606741573,1.0449438202247192,0
1,6,0.12359550561797752,1.0224719101123596,0
1,7,0.06741573033707865,0.5280898876404494,0
1,8,0.10112359550561797,0.7134831460674157,0
1,9,0.11235955056179775,0.8370786516853933,0
1,10,0.07865168539325842,0.6966292134831461,0
1,11,0.033707865168539325,0.3089887640449438,0
1,12,0.02247191011235955,0.20786516853932585,0
1,13,0.02247191011235955,0.21910112359550563,0
1,14,0.033707865168539325,0.3539325842696629,0
1,15,0.0449438202247191,0.4157303370786517,0
1,16,0.0449438202247191,0.398876404494382,0
1,17,0.056179775280898875,0.47191011235955055,0
1,18,0.10112359550561797,0.8707865168539326,0
1,19,0.056179775280898875,0.43258426966292135,0
1,20,0.06741573033707865,0.6123595505617978,0
1,21,0.056179775280898875,0.4943820224719101,0
1,22,0.033707865168539325,0.24157303370786518,0
1,23,0.056179775280898875,0.5056179775280899,0
1,24,0.033707865168539325,0.29213483146067415,0
1,25,0.033707865168539325,0.30337078651685395,0
1,26,0.011235955056179775,0.08426966292134831,0
1,27,0.0,0.0,0
1,28,0.0,0.0,0
1,29,0.02247191011235955,0.21910112359550563,0
