community_id,round,cooperation_rate,mean_payoff,b
0,0,0.48148148148148145,2.8487037037037033,1.01
0,1,0.37037037037037035,2.2362962962962962,1.01
0,2,0.35185185185185186,2.10537037037037,1.01
0,3,0.42592592592592593,2.6253703703703706,1.01
0,4,0.2962962962962963,1.8083333333333338,1.01
0,5,0.24074074074074073,1.512037037037037,1.01
0,6,0.16666666666666666,1.0444444444444445,1.01
0,7,0.2037037037037037,1.3231481481481482,1.01
0,8,0.18518518518518517,1.193703703703704,1.01
0,9,0.16666666666666666,1.1185185185185187,1.01
0,10,0.14814814814814814,0.9887037037037039,1.01
0,11,0.16666666666666666,1.0437037037037038,1.01
0,12,0.05555555555555555,0.33629629629629637,1.01
0,13,0.05555555555555555,0.3737037037037038,1.01
0,14,0.05555555555555555,0.35462962962962963,1.01
0,15,0.018518518518518517,0.11222222222222224,1.01
0,16,0.037037037037037035,0.20574074074074072,1.01
0,17,0.0,0.0,1.01
0,18,0.037037037037037035,0.22444444444444447,1.01
0,19,0.037037037037037035,0.22407407407407406,1.01
0,20,0.0,0.0,1.01
0,21,0.0,0.0,1.01
0,22,0.0,0.0,1.01
0,23,0.018518518518518517,0.11222222222222224,1.01
0,24,0.018518518518518517,0.11222222222222224,1.01
0,25,0.037037037037037035,0.24314814814814817,1.01
0,26,0.018518518518518517,0.13092592592592592,1.01
0,27,0.0,0.0,1.01
0,28,0.018518518518518517,0.13092592592592592,1.01
0,29,0.037037037037037035,0.24314814814814817,1.01
0,30,0.037037037037037035,0.22444444444444447,1.01
0,31,0.018518518518518517,0.13092592592592592,1.01
0,32,0.0,0.0,1.01
0,33,0.0,0.0,1.01
0,34,0.018518518518518517,0.11222222222222224,1.01
0,35,0.018518518518518517,0.11222222222222224,1.01
0,36,0.018518518518518517,0.09351851851851853,1.01
0,37,0.018518518518518517,0.09351851851851853,1.01
0,38,0.037037037037037035,0.24314814814814814,1.01
0,39,0.018518518518518517,0.13092592592592592,1.01
0,40,0.037037037037037035,0.24314814814814814,1.01
0,41,0.037037037037037035,0.20574074074074072,1.01
0,42,0.037037037037037035,0.20574074074074072,1.01
0,43,0.0,0.0,1.01
0,44,0.05555555555555555,0.3553703703703704,1.01
0,45,0.018518518518518517,0.11222222222222224,1.01
0,46,0.018518518518518517,0.11222222222222224,1.01
0,47,0.037037037037037035,0.22444444444444447,1.01
0,48,0.037037037037037035,0.22444444444444447,1.01
0,49,0.018518518518518517,0.13092592592592592,1.01
0,50,0.018518518518518517,0.13092592592592592,1.01
0,51,0.037037037037037035,0.2614814814814815,1.01
0,52,0.0,0.0,1.01
0,53,0.018518518518518517,0.11222222222222224,1.01
0,54,0.07407407407407407,0.4301851851851853,1.01
0,55,0.0,0.0,1.01
0,56,0.05555555555555555,0.35537037037037045,1.01
0,57,0.0,0.0,1.01
0,58,0.0,0.0,1.01
0,59,0.0,0.0,1.01
0,60,0.018518518518518517,0.11222222222222224,1.01
0,61,0.0,0.0,1.01
0,62,0.0,0.0,1.01
0,63,0.037037037037037035,0.2240740740740741,1.01
0,64,0.05555555555555555,0.33592592592592596,1.01
0,65,0.037037037037037035,0.20537037037037037,1.01
0,66,0.018518518518518517,0.11222222222222221,1.01
0,67,0.05555555555555555,0.3172222222222222,1.01
0,68,0.018518518518518517,0.09351851851851851,1.01
0,69,0.018518518518518517,0.11222222222222221,1.01
0,70,0.0,0.0,1.01
0,71,0.037037037037037035,0.22407407407407406,1.01
0,72,0.07407407407407407,0.48518518518518516,1.01
0,73,0.07407407407407407,0.41111111111111115,1.01
0,74,0.1111111111111111,0.672962962962963,1.01
0,75,0.07407407407407407,0.3924074074074075,1.01
0,76,0.037037037037037035,0.18703703703703703,1.01
0,77,0.07407407407407407,0.3924074074074075,1.01
0,78,0.07407407407407407,0.4485185185185185,1.01
0,79,0.07407407407407407,0.44814814814814824,1.01
0,80,0.07407407407407407,0.4107407407407408,1.01
0,81,0.05555555555555555,0.33666666666666667,1.01
0,82,0.018518518518518517,0.11222222222222224,1.01
0,83,0.037037037037037035,0.22444444444444447,1.01
0,84,0.037037037037037035,0.2240740740740741,1.01
0,85,0.018518518518518517,0.13092592592592592,1.01
0,86,0.037037037037037035,0.22444444444444447,1.01
0,87,0.05555555555555555,0.2988888888888889,1.01
0,88,0.07407407407407407,0.4287037037037037,1.01
0,89,0.05555555555555555,0.31759259259259265,1.01
0,90,0.037037037037037035,0.20574074074074075,1.01
0,91,0.05555555555555555,0.37333333333333335,1.01
0,92,0.05555555555555555,0.35500000000000004,1.01
0,93,0.07407407407407407,0.41111111111111115,1.01
0,94,0.018518518518518517,0.11222222222222224,1.01
0,95,0.037037037037037035,0.22444444444444447,1.01
0,96,0.037037037037037035,0.22444444444444447,1.01
0,97,0.0,0.0,1.01
0,98,0.037037037037037035,0.20574074074074075,1.01
0,99,0.037037037037037035,0.16796296296296298,1.01
0,100,0.037037037037037035,0.22444444444444447,1.01
1,0,0.4606741573033708,2.7464044943820225,1.01
1,1,0.3595505617977528,2.1258426966292134,1.01
