community_id,round,cooperation_rate,mean_payoff,social_adaptation_rate
0,0,0.48148148148148145,3.140740740740741,0.05
0,1,0.46296296296296297,3.0444444444444447,0.05
0,2,0.48148148148148145,3.1481481481481484,0.05
0,3,0.48148148148148145,3.1481481481481484,0.05
0,4,0.5,3.237037037037037,0.05
0,5,0.46296296296296297,3.0296296296296297,0.05
0,6,0.4444444444444444,2.9259259259259247,0.05
0,7,0.4444444444444444,2.933333333333334,0.05
0,8,0.48148148148148145,3.185185185185185,0.05
0,9,0.46296296296296297,3.0518518518518514,0.05
0,10,0.42592592592592593,2.837037037037037,0.05
0,11,0.42592592592592593,2.837037037037037,0.05
0,12,0.4074074074074074,2.7185185185185183,0.05
0,13,0.4074074074074074,2.7185185185185192,0.05
0,14,0.37037037037037035,2.4962962962962956,0.05
0,15,0.35185185185185186,2.385185185185185,0.05
0,16,0.3888888888888889,2.6370370370370373,0.05
0,17,0.4074074074074074,2.718518518518519,0.05
0,18,0.35185185185185186,2.362962962962963,0.05
0,19,0.35185185185185186,2.3629629629629627,0.05
0,20,0.2962962962962963,2.0074074074074075,0.05
0,21,0.3333333333333333,2.2518518518518515,0.05
0,22,0.2962962962962963,2.066666666666667,0.05
0,23,0.24074074074074073,1.7185185185185186,0.05
0,24,0.25925925925925924,1.82962962962963,0.05
0,25,0.2777777777777778,1.962962962962963,0.05
0,26,0.2962962962962963,2.088888888888889,0.05
0,27,0.2777777777777778,2.0000000000000004,0.05
0,28,0.25925925925925924,1.888888888888889,0.05
0,29,0.25925925925925924,1.888888888888889,0.05
0,30,0.25925925925925924,1.8814814814814815,0.05
0,31,0.2777777777777778,2.007407407407408,0.05
0,32,0.2777777777777778,2.0000000000000004,0.05
0,33,0.2777777777777778,2.0000000000000004,0.05
0,34,0.2962962962962963,2.037037037037037,0.05
0,35,0.2777777777777778,1.9259259259259258,0.05
0,36,0.2777777777777778,1.9259259259259258,0.05
0,37,0.3148148148148148,2.17037037037037,0.05
0,38,0.3148148148148148,2.17037037037037,0.05
0,39,0.3333333333333333,2.2814814814814817,0.05
0,40,0.3333333333333333,2.3185185185185184,0.05
0,41,0.3333333333333333,2.3555555555555556,0.05
0,42,0.3148148148148148,2.2370370370370374,0.05
0,43,0.35185185185185186,2.4518518518518513,0.05
0,44,0.3333333333333333,2.385185185185185,0.05
0,45,0.3333333333333333,2.385185185185185,0.05
0,46,0.2777777777777778,1.9555555555555557,0.05
0,47,0.25925925925925924,1.8074074074074076,0.05
0,48,0.24074074074074073,1.6370370370370375,0.05
0,49,0.2222222222222222,1.511111111111111,0.05
0,50,0.18518518518518517,1.274074074074074,0.05
0,51,0.18518518518518517,1.251851851851852,0.05
0,52,0.16666666666666666,1.155555555555556,0.05
0,53,0.14814814814814814,1.0444444444444445,0.05
