community_id,round,cooperation_rate,mean_payoff
0,0,0.48148148148148145,3.140740740740741
0,1,0.46296296296296297,3.0518518518518523
0,2,0.48148148148148145,3.111111111111111
0,3,0.5185185185185185,3.3629629629629627
0,4,0.5,3.1999999999999997
0,5,0.4444444444444444,2.9259259259259256
0,6,0.3888888888888889,2.5777777777777775
0,7,0.3888888888888889,2.5925925925925926
0,8,0.35185185185185186,2.303703703703704
0,9,0.3333333333333333,2.177777777777778
0,10,0.2777777777777778,1.8592592592592594
0,11,0.24074074074074073,1.6
0,12,0.24074074074074073,1.5777777777777775
0,13,0.24074074074074073,1.5777777777777777
0,14,0.2777777777777778,1.8000000000000003
0,15,0.25925925925925924,1.740740740740741
0,16,0.2777777777777778,1.888888888888889
0,17,0.2222222222222222,1.4740740740740743
0,18,0.24074074074074073,1.5925925925925926
0,19,0.25925925925925924,1.7407407407407407
0,20,0.24074074074074073,1.666666666666667
0,21,0.25925925925925924,1.7333333333333334
0,22,0.25925925925925924,1.7555555555555558
0,23,0.25925925925925924,1.7555555555555558
0,24,0.2777777777777778,1.8518518518518519
0,25,0.2222222222222222,1.4592592592592595
0,26,0.2222222222222222,1.4592592592592593
0,27,0.2222222222222222,1.4444444444444446
0,28,0.2222222222222222,1.4592592592592593
0,29,0.18518518518518517,1.1851851851851851
0,30,0.18518518518518517,1.2444444444444445
0,31,0.16666666666666666,1.1259259259259258
0,32,0.09259259259259259,0.6222222222222222
0,33,0.1111111111111111,0.7999999999999999
0,34,0.1111111111111111,0.7925925925925926
0,35,0.1111111111111111,0.7777777777777778
0,36,0.1111111111111111,0.7777777777777778
0,37,0.09259259259259259,0.6592592592592593
0,38,0.1111111111111111,0.8148148148148148
0,39,0.09259259259259259,0.674074074074074
0,40,0.1111111111111111,0.8074074074074076
0,41,0.1111111111111111,0.7777777777777779
0,42,0.09259259259259259,0.651851851851852
0,43,0.1111111111111111,0.8148148148148148
0,44,0.14814814814814814,1.051851851851852
0,45,0.12962962962962962,0.9185185185185186
0,46,0.18518518518518517,1.288888888888889
0,47,0.16666666666666666,1.1629629629629632
0,48,0.2037037037037037,1.4074074074074077
0,49,0.2037037037037037,1.3925925925925926
0,50,0.12962962962962962,0.8592592592592593
0,51,0.14814814814814814,0.9777777777777777
0,52,0.16666666666666666,1.111111111111111
0,53,0.16666666666666666,1.111111111111111
0,54,0.18518518518518517,1.2814814814814819
0,55,0.16666666666666666,1.1407407407407408
0,56,0.16666666666666666,1.162962962962963
0,57,0.18518518518518517,1.2666666666666668
0,58,0.18518518518518517,1.2666666666666668
0,59,0.16666666666666666,1.1185185185185187
0,60,0.18518518518518517,1.2518518518518518
0,61,0.16666666666666666,1.1185185185185185
0,62,0.16666666666666666,1.1259259259259258
0,63,0.12962962962962962,0.8888888888888888
0,64,0.2037037037037037,1.4222222222222223
0,65,0.16666666666666666,1.1851851851851851
0,66,0.14814814814814814,1.088888888888889
0,67,0.12962962962962962,0.9185185185185185
0,68,0.09259259259259259,0.6592592592592593
0,69,0.1111111111111111,0.8074074074074074
0,70,0.09259259259259259,0.6370370370370372
0,71,0.05555555555555555,0.38518518518518513
0,72,0.05555555555555555,0.38518518518518513
0,73,0.037037037037037035,0.26666666666666666
0,74,0.018518518518518517,0.13333333333333333
0,75,0.037037037037037035,0.26666666666666666
0,76,0.05555555555555555,0.3925925925925926
0,77,0.05555555555555555,0.4074074074074074
0,78,0.05555555555555555,0.4074074074074074
0,79,0.037037037037037035,0.25925925925925924
0,80,0.05555555555555555,0.37777777777777777
0,81,0.05555555555555555,0.37777777777777777
0,82,0.05555555555555555,0.37777777777777777
0,83,0.05555555555555555,0.37777777777777777
0,84,0.07407407407407407,0.5111111111111112
0,85,0.07407407407407407,0.5111111111111112
0,86,0.05555555555555555,0.42222222222222217
0,87,0.018518518518518517,0.13333333333333333
0,88,0.05555555555555555,0.39999999999999997
0,89,0.05555555555555555,0.39999999999999997
0,90,0.05555555555555555,0.39999999999999997
0,91,0.09259259259259259,0.7037037037037038
0,92,0.05555555555555555,0.39999999999999997
0,93,0.07407407407407407,0.5259259259259259
0,94,0.05555555555555555,0.3925925925925926
0,95,0.07407407407407407,0.5037037037037037
0,96,0.12962962962962962,0.8666666666666669
0,97,0.09259259259259259,0.6148148148148147
0,98,0.12962962962962962,0.8666666666666667
0,99,0.16666666666666666,1.1037037037037039
0,100,0.12962962962962962,0.8592592592592594
1,0,0.4606741573033708,3.051685393258427
1,1,0.3707865168539326,2.543820224719101
1,2,0.38202247191011235,2.5707865168539326
1,3,0.33707865168539325,2.2561797752808985
1,4,0.3258426966292135,2.2067415730337077
1,5,0.30337078651685395,2.0314606741573034
1,6,0.30337078651685395,2.0269662921348313
1,7,0.3146067415730337,2.1213483146067413
1,8,0.3258426966292135,2.18876404494382
1,9,0.33707865168539325,2.2741573033707865
1,10,0.2808988764044944,1.9191011235955053
1,11,0.2696629213483146,1.7932584269662921
1,12,0.30337078651685395,2.0044943820224717
1,13,0.29213483146067415,1.9280898876404493
1,14,0.30337078651685395,2.0044943820224717
1,15,0.3146067415730337,2.044943820224719
1,16,0.24719101123595505,1.5820224719101121
1,17,0.24719101123595505,1.6269662921348313
1,18,0.1797752808988764,1.195505617977528
1,19,0.1797752808988764,1.2134831460674158
1,20,0.15730337078651685,1.092134831460674
1,21,0.1348314606741573,0.9483146067415731
1,22,0.1348314606741573,0.9438202247191011
1,23,0.14606741573033707,1.0292134831460673
1,24,0.14606741573033707,1.0022471910112358
1,25,0.11235955056179775,0.7460674157303372
1,26,0.1348314606741573,0.8898876404494382
1,27,0.1348314606741573,0.889887640449438
1,28,0.12359550561797752,0.8494382022471909
