run_id,seed,Tin,b,social_adaptation_rate,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,final_std_payoff_between_communities
0,42,50,1.01,0.02,0.3661718033181415,0.07875551516571053,2.18191384514337,0.4437670114129728
1,43,50,1.01,0.02,0.3919088533854433,0.07437379959055944,2.3570098955398726,0.4473213887493038
2,44,50,1.01,0.02,0.38936000411904026,0.054527954212753534,2.367737937096371,0.2985123686836237
3,45,50,1.01,0.02,0.43264365984962494,0.10635549325635929,2.6164506948409905,0.5983792391353573
4,46,50,1.01,0.02,0.37271540285675764,0.14125712688813696,2.2507164798710413,0.8639141599238405
5,47,50,1.01,0.02,0.42437829694993373,0.09214403849038032,2.596771844348338,0.555426811631131
6,48,50,1.01,0.02,0.35558592132505173,0.17649915553057025,2.1517265217391306,1.0491451027098369
7,49,50,1.01,0.02,0.38438853208777307,0.13087922552190304,2.3239900853889943,0.7757423952561434
8,50,50,1.01,0.02,0.44289668248359926,0.08905926893799258,2.6903215679591614,0.5371527354309493
9,51,50,1.01,0.02,0.4011564360841221,0.06197773112280006,2.430513429860857,0.3659450857894662
10,52,50,1.01,0.02,0.42154316108422807,0.0588778986467198,2.531503189752424,0.35842207349022925
11,53,50,1.01,0.02,0.4213274709786338,0.019261918342662526,2.542663605928955,0.12574158340932282
12,54,50,1.01,0.02,0.37385314484192833,0.05497546413659978,2.269501860578306,0.3135158479330711
13,55,50,1.01,0.02,0.3659150596140769,0.05824833872587233,2.238549416780971,0.36709809712252933
14,56,50,1.01,0.02,0.3723656911040278,0.08964071935166636,2.2711220493714728,0.5275956825562139
15,57,50,1.01,0.02,0.4107751254407986,0.08828773429281536,2.479720565353452,0.5258139616068397
16,58,50,1.01,0.02,0.347735658997857,0.05945194513044317,2.1063845478203342,0.35680321323817327
17,59,50,1.01,0.02,0.3570829704619656,0.10061188870977893,2.162142368677852,0.6121403731999079
18,60,50,1.01,0.02,0.4107966363138777,0.054790765131939735,2.428014309422829,0.33891702523238626
19,61,50,1.01,0.02,0.3500299849579455,0.06008845470985789,2.1128507305864637,0.3616418627150643
20,62,50,1.01,0.02,0.37415948249281583,0.12869224108216806,2.261292312625646,0.7913881023203639
21,63,50,1.01,0.02,0.3783502882397459,0.09020098584324737,2.2715196201644705,0.5400169166238827
22,64,50,1.01,0.02,0.39907372116928264,0.09751204592155661,2.374584791471767,0.5696762351934879
23,65,50,1.01,0.02,0.34243717716040767,0.031404906884093226,2.068549270557029,0.18192522180673712
24,66,50,1.01,0.02,0.4070202070299841,0.11440637421752163,2.4350323943903485,0.7084128833676788
25,67,50,1.01,0.02,0.40253042793397287,0.10378561150290547,2.4154255164135683,0.6681818891067028
26,68,50,1.01,0.02,0.3986082676405257,0.09156152525816495,2.3841513777707326,0.5609532881318835
27,69,50,1.01,0.02,0.38540515868514436,0.05088392409004908,2.346021141740932,0.31458542424209585
28,70,50,1.01,0.02,0.46685932099349364,0.03966138145779834,2.8180805630085737,0.20355753963083392
29,71,50,1.01,0.02,0.31536362078443086,0.12203267291535938,1.90464089058741,0.7131310022813853
30,72,50,1.01,0.02,0.37930878438331855,0.0564204428288773,2.2650335034013604,0.3591230214799976
31,73,50,1.01,0.02,0.3422582211795695,0.018825533670301105,2.071912489220407,0.1472561432155249
32,74,50,1.01,0.02,0.4434381745297564,0.11726864727551091,2.660948434685233,0.7008101151515546
33,75,50,1.01,0.02,0.49793925433204356,0.08366565154916418,3.0103850672291745,0.5116401560588187
34,76,50,1.01,0.02,0.34232333432333434,0.12141082234558478,2.0815239243639243,0.7301982863122386
35,77,50,1.01,0.02,0.4829840977655059,0.09820937893453167,2.893400836214458,0.5793347557410731
36,78,50,1.01,0.02,0.4008548414216276,0.0554036020322083,2.4117480369967934,0.3348019280129099
37,79,50,1.01,0.02,0.4330200039120099,0.07412365121027915,2.6098180253377867,0.45725355092444503
38,80,50,1.01,0.02,0.48302214334009463,0.13165367690215174,2.9279130628803243,0.7953793653937805
39,81,50,1.01,0.02,0.37657604778086706,0.13051562653028914,2.268631737205231,0.8109897300728677
40,82,50,1.01,0.02,0.43632602648240004,0.0701386286349644,2.596575095658774,0.4260486553388228
41,83,50,1.01,0.02,0.3567016317016317,0.10263079919751238,2.142512470862471,0.6182294790438442
42,84,50,1.01,0.02,0.4243994981978495,0.12784010727648312,2.5520221617229994,0.765203316721205
43,85,50,1.01,0.02,0.4161460505191026,0.11251451652351205,2.5146731569280214,0.674644724900287
44,86,50,1.01,0.02,0.3859334005697869,0.16572293125750512,2.2941894791217807,0.9925604503564642
45,87,50,1.01,0.02,0.3199925119971344,0.11127788874539869,1.9330532867582892,0.6607181296385521
46,88,50,1.01,0.02,0.3927099829622571,0.10213779178612604,2.392319073031275,0.6419009095625374
47,89,50,1.01,0.02,0.4123039993393314,0.09810798458075765,2.469047122191585,0.631953545470171
48,90,50,1.01,0.02,0.37801558440217226,0.10487017942006538,2.267352585557672,0.6273329688684846
49,91,50,1.01,0.02,0.3706995282438995,0.1924895440139844,2.219915211829246,1.1647563099678324
50,92,50,1.01,0.02,0.3875036580670004,0.1250365274681487,2.3153630272108847,0.7486705946955997
51,93,50,1.01,0.02,0.42885613504661124,0.10079060234427331,2.574523931377265,0.5740421378593268
52,94,50,1.01,0.02,0.3512968393613555,0.12140560211462702,2.1135544602351053,0.7284707366693111
53,95,50,1.01,0.02,0.43774420024420024,0.05098720721360867,2.6260026602526607,0.32195500737016663
54,96,50,1.01,0.02,0.3669452636319203,0.08827420567739402,2.225750513204936,0.5405127702351542
55,97,50,1.01,0.02,0.4191775148137573,0.08193237511144437,2.5320105881793094,0.47975704946548126
56,98,50,1.01,0.02,0.3996043140598139,0.032816868043079234,2.4068508063498184,0.17526363432279185
57,99,50,1.01,0.02,0.37286447692743085,0.0553290445694178,2.2650446940307476,0.3435143180862312
58,100,50,1.01,0.02,0.3646936864633494,0.1293558904746159,2.2122891712093837,0.7972020814228824
59,101,50,1.01,0.02,0.4132283682703851,0.13315802710159777,2.4829631221719457,0.841344573591307
60,102,50,1.01,0.02,0.4284546379215562,0.09696776799491433,2.5981069065288556,0.5701484184684459
61,103,50,1.01,0.02,0.36796180783995397,0.11097433846655971,2.242544735722345,0.659770451571286
62,104,50,1.01,0.02,0.4407411911336025,0.1146133781144141,2.679429930726346,0.7174797159246532
