social_adaptation_rate,final_mean_cooperation,final_std_cooperation,final_mean_payoff,final_std_payoff
0.05,0.3018331753982221,0.058029781871107494,2.052288254140156,0.3809618323063366
0.1,0.2596079699572322,0.08196807278251085,1.754914188589564,0.5520720860634144
0.15,0.1853931330816399,0.042331490811831955,1.271933877833431,0.2591403983445864
0.2,0.1748390566009356,0.09442053543282687,1.1969301926808356,0.6328307970771967
0.25,0.10489047325381425,0.03271847418043553,0.711819211928864,0.2329113171500966
0.3,0.0914777712598208,0.049940019005114245,0.6423221976545384,0.3254898397867346
0.4,0.10337956068970011,0.0660803631447124,0.7075121961002562,0.46989961028399907
0.5,0.05563715536302514,0.04015037397887581,0.38995081449393076,0.2585970283826823
0.75,0.04113607990012484,0.044353875371778165,0.3007282563462338,0.30105084447304786
1.0,0.03002496878901373,0.02531401477720737,0.21850603412401162,0.1854130953161137
