Tin,b,social_adaptation_rate,mean_final_cooperation,std_final_cooperation,mean_final_payoff,std_final_payoff
50,1.01,0.02,0.3967242077355154,0.038497573211737614,2.3914134698401326,0.23263315839970597
50,1.01,0.03,0.3862020620450001,0.044022014834535876,2.325708819599613,0.2653684189412625
50,1.01,0.04,0.3608599236624904,0.039430764654991575,2.173869793384618,0.2414553771653592
50,1.01,0.05,0.34947827378263935,0.040339968999041326,2.1053801421569376,0.24483890846258827
50,1.01,0.075,0.30877406623656856,0.04301273726132635,1.8596104705885126,0.25720537423271256
50,1.01,0.1,0.2884290940790998,0.03933924717895228,1.740248101813616,0.23685724900975538
50,1.01,0.125,0.2496057697342792,0.038978458626080424,1.5053991728353437,0.23599480913898058
50,1.01,0.15,0.22249354374171645,0.041854210149423116,1.3405671849232188,0.25062444499553227
50,1.01,0.175,0.1967700107158603,0.033851459509897035,1.1893272372104051,0.20526954817556964
50,1.01,0.2,0.1818611804799078,0.0367397922585733,1.0981186669129883,0.22214927351108202
50,1.01,0.25,0.14740146171651863,0.032177223256609704,0.8904016665750362,0.19490536838883668
50,1.05,0.02,0.38401185249645975,0.038754069766395685,2.3619853164209816,0.2330997109819396
50,1.05,0.03,0.3703644803965195,0.039535481637507586,2.275088577605062,0.2397826665114771
50,1.05,0.04,0.3544275431035123,0.03647734906968608,2.1819289642419792,0.22263264541839675
50,1.05,0.05,0.34114187128601337,0.04043863413313078,2.1010473553716738,0.24538668815354184
50,1.05,0.075,0.2955011490331901,0.04043564663426533,1.8226779219510185,0.24683378774157022
50,1.05,0.1,0.27312334877661393,0.03673302037863289,1.689629379691145,0.2266548984097942
50,1.05,0.125,0.24695507478878498,0.03704443417005965,1.5248748841803006,0.2270088200796578
50,1.05,0.15,0.21722988535704083,0.03575848771691534,1.3421695325821963,0.2167603359999195
50,1.05,0.175,0.19906364674277274,0.03578542608344535,1.233001908252922,0.21877031168408306
50,1.05,0.2,0.1745347485613375,0.03507634670614221,1.0805239076288333,0.2157586644644253
50,1.05,0.25,0.1438060942116659,0.033722922196212306,0.891606835870701,0.20732911710230537
50,1.1,0.02,0.3642359437542271,0.028233325133036332,2.300662608597266,0.17713058215196
50,1.1,0.03,0.34938789333380965,0.041626134177059744,2.205538877002309,0.25214394182238303
