community_id,size,cooperation_rate,mean_payoff
0,54,0.037037037037037035,0.37037037037037035
1,89,0.011235955056179775,0.10112359550561797
2,83,0.03614457831325301,0.3253012048192771
3,72,0.027777777777777776,0.2708333333333333
4,72,0.041666666666666664,0.3541666666666667
