community_id,size,cooperation_rate,mean_payoff,normalized_mean_payoff,external_cooperation_probability,external_action,external_payoff
0,54,0.6481481481481481,5.074074074074074,0.6866235167206047,0.659690758719885,0,0.0
1,89,0.5393258426966292,4.584269662921348,0.09457837896803706,0.40590160357805155,1,0.0
2,83,0.5421686746987951,4.506024096385542,0.0,0.37951807228915657,0,1.5
3,72,0.625,5.333333333333333,1.0,0.7375,0,0.0
4,72,0.6944444444444444,5.305555555555555,0.9664239482200648,0.7760382955771306,0,0.0
