run_id,seed,b,social_adaptation_rate,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,final_std_payoff_between_communities
0,42,1.05,0.1,0.28370936931245583,0.12094637701367815,1.760424889320077,0.7499287611345571
1,43,1.05,0.1,0.2211353803026824,0.06629653051586065,1.348985436865001,0.3983074414605014
2,44,1.05,0.1,0.245872868764435,0.10314257011824848,1.5054860467511073,0.6094867817814652
3,45,1.05,0.1,0.2506536041293294,0.0583417908648731,1.5029724032601108,0.3693317211816114
4,46,1.05,0.1,0.25012403737102157,0.07698209523187706,1.546925540995503,0.4502640836385651
5,47,1.05,0.1,0.2236726582646932,0.10062167756133304,1.381455107634078,0.6508320491186167
6,48,1.05,0.1,0.2695910973084886,0.10263971566283805,1.6662407867494822,0.6355470127258386
7,49,1.05,0.1,0.25472497932175353,0.0510776180882442,1.5268997774047584,0.2973517058809076
8,50,1.05,0.1,0.22719238717023335,0.04779291889185286,1.4138122954244505,0.3070353059409677
9,51,1.05,0.1,0.19947329594996366,0.12329791920868181,1.2523624578355874,0.7736102998760988
10,52,1.05,0.1,0.2635658385846236,0.09373402906184383,1.6231132563604675,0.5576815571556872
11,53,1.05,0.1,0.2810432435781273,0.1069672311724739,1.711671307374796,0.6440590113554998
12,54,1.05,0.1,0.18987796730160839,0.10586306421087886,1.1720293643945932,0.6782686245176142
13,55,1.05,0.1,0.23604816087691324,0.060268753014856374,1.4272444194556178,0.3561830023037031
14,56,1.05,0.1,0.2301193856853086,0.0793162770360257,1.4016313035559054,0.4701272320126404
15,57,1.05,0.1,0.31066160320764563,0.0999893943070276,1.9135717275049835,0.61655358196583
16,58,1.05,0.1,0.1839755280180812,0.07064118340049852,1.150215165280515,0.4282303400519321
17,59,1.05,0.1,0.1914700863149123,0.06539078846655913,1.1752392062293064,0.39659861927389667
18,60,1.05,0.1,0.24891757329891204,0.046802351556768894,1.5796344962227316,0.2825111227858316
19,61,1.05,0.1,0.28293344640781976,0.10249401010800771,1.7234777590775117,0.5876765188161159
20,62,1.05,0.1,0.186003811003811,0.0638784937790674,1.165697728197728,0.3976332495813532
21,63,1.05,0.1,0.22099065212431968,0.04923964716871586,1.3911381901368416,0.3201089226746945
22,64,1.05,0.1,0.1798118568310176,0.06674023406096784,1.1276042352424842,0.4258982620324751
23,65,1.05,0.1,0.2633317045930476,0.09185623280193045,1.621230175903951,0.5885964178164985
24,66,1.05,0.1,0.18647258798074212,0.06855906712213966,1.1682537078812318,0.4372133683223098
25,67,1.05,0.1,0.28150464295423944,0.03691960495030789,1.7271208553539616,0.21457765823568004
26,68,1.05,0.1,0.23144996822416175,0.05446002700804723,1.4153973721715658,0.33190081222278695
27,69,1.05,0.1,0.18211943159431349,0.11583985415088621,1.1269232125147284,0.7303986310037658
28,70,1.05,0.1,0.1863072879678917,0.06393717449749807,1.1581408392338894,0.40262400889246075
29,71,1.05,0.1,0.2220199427451428,0.08002117872587076,1.3678105308107735,0.4880906915633307
0,42,1.05,0.15,0.16412253257725035,0.1229858715968074,1.026602502394096,0.7659328314527155
1,43,1.05,0.15,0.1987455231972542,0.09126033933126683,1.2478462659652378,0.5859233621933623
2,44,1.05,0.15,0.214683642996896,0.07497301165711953,1.293980280094738,0.44531497731167385
3,45,1.05,0.15,0.18114319202424228,0.026584305246513597,1.131165875840197,0.16180007764364904
4,46,1.05,0.15,0.19419189131314094,0.03811507402542611,1.2132666786623523,0.24029071343908096
