round,mean_cooperation,mean_payoff,run_id
0,0.4485978702804779,4.177369532041164,0
1,0.4376505895972105,4.04496105682512,0
2,0.4280141785715187,3.9404800557255366,0
3,0.4198350731345126,3.8590011394892305,0
4,0.4107358673322121,3.778657993443756,0
5,0.40284286008199416,3.711155688757075,0
6,0.39519731796091156,3.644674717969193,0
7,0.3888125757466874,3.59030527466269,0
8,0.3820060975667045,3.5337401342030117,0
9,0.37684706579851285,3.487600845276181,0
10,0.37210710493450605,3.450060455761113,0
11,0.3669977154348523,3.4096117187467794,0
12,0.36277877004546893,3.3781718479612453,0
13,0.3582749977011415,3.3472893134799055,0
14,0.3555336724311185,3.3206989528984487,0
15,0.3524528222856213,3.2955320341154324,0
16,0.3489322165745738,3.2676701503020307,0
17,0.34537306788152794,3.240179016168873,0
18,0.3432294181848269,3.221392906751442,0
19,0.3405549451902433,3.200388077078967,0
20,0.3381561120482704,3.181033847808744,0
21,0.33471118534303707,3.1570690595776547,0
22,0.3331996786118638,3.1448388230852373,0
23,0.33162391653116974,3.1358050884692363,0
24,0.32995484139789133,3.121945601606775,0
25,0.3282383693556851,3.107612480038597,0
26,0.32623099740001904,3.0932085228201385,0
27,0.32441280139538214,3.076823237340534,0
28,0.3226199000332154,3.0633968422342965,0
29,0.32217629591671637,3.0593074551963064,0
30,0.32009239135294326,3.0427515330486523,0
31,0.3186214222454423,3.0323239058706806,0
32,0.3172332318925498,3.019753094079257,0
33,0.3157754191388433,3.0084808511656753,0
34,0.31496428788349445,3.00188757207249,0
35,0.31339184927722935,2.992567189374632,0
36,0.31218204312533027,2.9824550224717155,0
37,0.3117431215203916,2.979258850060519,0
38,0.31160055458233726,2.976813097456411,0
39,0.31031491677862694,2.9689065584609775,0
40,0.3099848872172882,2.965461957439512,0
41,0.3084996010090918,2.9550148300324057,0
42,0.308208095364726,2.956734338919142,0
43,0.3072250189272688,2.9458967148187347,0
44,0.3068317986375606,2.941276779855712,0
45,0.30644700733752106,2.9372084482738163,0
46,0.30512051577403104,2.92902968303157,0
47,0.3058024494475505,2.93251621943856,0
48,0.30432709715887724,2.922451401239713,0
49,0.3040342083121323,2.919623991198463,0
50,0.30327689376836436,2.913426149583383,0
51,0.3030252722588629,2.912754137675544,0
52,0.3027796304497501,2.9112997496396806,0
53,0.3021907567742617,2.9058357818910237,0
54,0.3007835603660345,2.895667335770409,0
55,0.30023031798547595,2.8918026501514946,0
56,0.300383724110022,2.8922567941009363,0
57,0.3000344234072943,2.889109993124429,0
58,0.29904594455930633,2.883388329995528,0
59,0.2991992600648686,2.8842986860814115,0
60,0.2993305858838948,2.8849178667121387,0
61,0.29916717549199345,2.886121119219087,0
62,0.29923606943449244,2.8876628562070463,0
63,0.29881245972264,2.8850901887977676,0
64,0.29889202200155707,2.8853453146315906,0
65,0.2985056995749597,2.880104440864343,0
66,0.29875631700644106,2.883870297184002,0
67,0.2989249364894706,2.8874221846255623,0
68,0.2989165584153211,2.8876402910156282,0
69,0.29877449553580726,2.8862246263391245,0
70,0.2979960145933459,2.877358906043045,0
71,0.2983055206082676,2.881242124542282,0
