round,mean_cooperation,std_cooperation,mean_payoff,std_payoff
0,0.4485978702804779,,4.177369532041164,
1,0.4376505895972105,,4.04496105682512,
2,0.4280141785715187,,3.9404800557255366,
3,0.4198350731345126,,3.8590011394892305,
4,0.4107358673322121,,3.778657993443756,
5,0.40284286008199416,,3.711155688757075,
6,0.39519731796091156,,3.644674717969193,
7,0.3888125757466874,,3.59030527466269,
8,0.3820060975667045,,3.5337401342030117,
9,0.37684706579851285,,3.487600845276181,
10,0.37210710493450605,,3.450060455761113,
11,0.3669977154348523,,3.4096117187467794,
12,0.36277877004546893,,3.3781718479612453,
13,0.3582749977011415,,3.3472893134799055,
14,0.3555336724311185,,3.3206989528984487,
15,0.3524528222856213,,3.2955320341154324,
16,0.3489322165745738,,3.2676701503020307,
17,0.34537306788152794,,3.240179016168873,
18,0.3432294181848269,,3.221392906751442,
19,0.3405549451902433,,3.200388077078967,
20,0.3381561120482704,,3.181033847808744,
21,0.33471118534303707,,3.1570690595776547,
22,0.3331996786118638,,3.1448388230852373,
23,0.33162391653116974,,3.1358050884692363,
24,0.32995484139789133,,3.121945601606775,
25,0.3282383693556851,,3.107612480038597,
26,0.32623099740001904,,3.0932085228201385,
27,0.32441280139538214,,3.076823237340534,
28,0.3226199000332154,,3.0633968422342965,
29,0.32217629591671637,,3.0593074551963064,
30,0.32009239135294326,,3.0427515330486523,
31,0.3186214222454423,,3.0323239058706806,
32,0.3172332318925498,,3.019753094079257,
33,0.3157754191388433,,3.0084808511656753,
34,0.31496428788349445,,3.00188757207249,
35,0.31339184927722935,,2.992567189374632,
36,0.31218204312533027,,2.9824550224717155,
37,0.3117431215203916,,2.979258850060519,
38,0.31160055458233726,,2.976813097456411,
39,0.31031491677862694,,2.9689065584609775,
40,0.3099848872172882,,2.965461957439512,
41,0.3084996010090918,,2.9550148300324057,
42,0.308208095364726,,2.956734338919142,
43,0.3072250189272688,,2.9458967148187347,
44,0.3068317986375606,,2.941276779855712,
45,0.30644700733752106,,2.9372084482738163,
46,0.30512051577403104,,2.92902968303157,
47,0.3058024494475505,,2.93251621943856,
