eta_s,rho_s,internal_cooperation,internal_cooperation_std,corr_climate_coop,corr_climate_std,expected_global,n,ci95_corr_climate
0.1,0.0,0.18463311733253873,0.004112699119190441,-0.02832292659681476,0.09740207325380706,0.2711146350089741,22,0.04070173591277729
0.1,0.25,0.1871579839868317,0.004591967847933798,-0.020054551199429612,0.11445873244659392,0.2753207964426071,22,0.04782926015150719
0.1,0.5,0.18772177441277832,0.004433123387835593,-0.023514917656921094,0.13630116090189057,0.2753035845122524,22,0.056956630082993405
0.1,0.75,0.19050759131724798,0.007679547297895364,-0.028149953500807356,0.13288554008787715,0.2674727267864268,22,0.05552933298647368
0.3,0.0,0.33746928156642264,0.004352215187065109,-0.029049226830198286,0.0954257997629948,0.38859333597903717,22,0.03987590378182396
0.3,0.25,0.338612326833653,0.006531843653184833,-0.01114092749064516,0.09530938165106939,0.38812290197782356,22,0.0398272557490998
0.3,0.5,0.34381577413976855,0.007321902260389863,-0.01238291329413946,0.14463864134926627,0.3982167869989482,22,0.06044064141879693
0.3,0.75,0.34750601339759296,0.010878112096020187,-0.027550272792073397,0.16246056421080415,0.39335716298686463,22,0.06788794899178897
0.6,0.0,0.41004223466512957,0.007433357734732644,0.06119863047941059,0.11387548735930797,0.45288484352290515,22,0.04758553754148349
0.6,0.25,0.41601003598973985,0.008777119284329313,-0.005742351207096666,0.10394166623886632,0.4593960918396612,22,0.043434457894591244
0.6,0.5,0.42143586645392617,0.01300459945786474,0.01911577552366286,0.14837555272665517,0.4589652367564638,22,0.06200219729672576
0.6,0.75,0.4311844224679341,0.016730489865883776,0.023038654877250833,0.14920145221554146,0.4776471980499922,22,0.0623473187275556
